Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price
london st pancras,birmingham new street,no railcard,advance,1 days,8
birmingham new street,tamworth,no railcard,advance,1 days,11
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london paddington,reading,no railcard,advance,1 days,27
london euston,manchester piccadilly,no railcard,advance,1 days,72
london euston,manchester piccadilly,no railcard,advance,1 days,72
manchester piccadilly,liverpool lime street,disabled,advance,1 days,2
birmingham new street,liverpool lime street,no railcard,advance,1 days,6
london euston,birmingham new street,no railcard,advance,1 days,7
london st pancras,birmingham new street,no railcard,advance,1 days,8
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
birmingham new street,london st pancras,adult,advance,1 days,15
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london euston,oxford,adult,advance,1 days,2
london euston,manchester piccadilly,no railcard,off-peak,0 days,107
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
liverpool lime street,london euston,adult,off-peak,0 days,76
london kings cross,edinburgh waverley,disabled,advance,2 days,24
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15
london euston,birmingham new street,no railcard,off-peak,0 days,10
london euston,birmingham new street,no railcard,off-peak,0 days,10
london euston,manchester piccadilly,adult,advance,1 days,48
london paddington,reading,no railcard,off-peak,0 days,19
york,durham,disabled,advance,1 days,5
london paddington,reading,no railcard,advance,1 days,13
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london paddington,reading,adult,advance,1 days,18
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
liverpool lime street,manchester piccadilly,senior,advance,1 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london euston,birmingham new street,no railcard,off-peak,0 days,10
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london kings cross,york,no railcard,advance,1 days,57
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london euston,birmingham new street,adult,off-peak,0 days,7
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
york,durham,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,sheffield,adult,off-peak,0 days,9
manchester piccadilly,sheffield,adult,off-peak,0 days,4
manchester piccadilly,nottingham,no railcard,advance,1 days,12
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london paddington,reading,disabled,off-peak,0 days,13
london paddington,reading,disabled,off-peak,0 days,13
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,sheffield,no railcard,advance,1 days,4
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,off-peak,0 days,53
birmingham new street,london st pancras,disabled,off-peak,0 days,22
london kings cross,york,no railcard,off-peak,0 days,53
london euston,birmingham new street,no railcard,off-peak,0 days,10
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
london euston,manchester piccadilly,no railcard,off-peak,0 days,107
london kings cross,york,no railcard,advance,1 days,35
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london paddington,reading,no railcard,off-peak,0 days,19
york,peterborough,no railcard,off-peak,0 days,50
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
reading,swindon,no railcard,off-peak,0 days,14
london paddington,london waterloo,no railcard,off-peak,0 days,5
york,doncaster,no railcard,off-peak,0 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,54
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,off-peak,0 days,86
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
liverpool lime street,london euston,no railcard,off-peak,0 days,176
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london euston,manchester piccadilly,disabled,off-peak,0 days,71
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london paddington,reading,no railcard,off-peak,0 days,19
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
york,liverpool lime street,no railcard,off-peak,0 days,23
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,leeds,no railcard,off-peak,0 days,14
london kings cross,york,no railcard,off-peak,0 days,53
london paddington,reading,no railcard,off-peak,0 days,19
london paddington,reading,no railcard,off-peak,0 days,41
london paddington,oxford,no railcard,off-peak,0 days,26
london kings cross,york,no railcard,off-peak,0 days,53
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,leeds,adult,off-peak,0 days,10
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london paddington,reading,no railcard,off-peak,0 days,41
london kings cross,edinburgh waverley,disabled,off-peak,0 days,36
london paddington,reading,senior,advance,1 days,8
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
reading,didcot,senior,advance,1 days,3
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
london kings cross,york,no railcard,advance,1 days,35
london paddington,reading,senior,advance,1 days,8
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
london euston,birmingham new street,no railcard,advance,1 days,7
london kings cross,york,no railcard,off-peak,0 days,53
london euston,manchester piccadilly,no railcard,advance,1 days,72
london kings cross,york,no railcard,off-peak,0 days,53
birmingham new street,london st pancras,disabled,advance,1 days,15
london euston,birmingham new street,adult,advance,1 days,4
york,doncaster,disabled,advance,1 days,4
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,advance,1 days,35
london paddington,reading,no railcard,advance,1 days,13
london paddington,oxford,no railcard,advance,1 days,18
london paddington,reading,no railcard,advance,1 days,27
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london paddington,oxford,no railcard,advance,1 days,18
birmingham new street,london st pancras,no railcard,advance,1 days,22
london paddington,reading,senior,advance,1 days,8
york,peterborough,disabled,advance,1 days,22
york,peterborough,no railcard,advance,1 days,34
york,doncaster,no railcard,advance,1 days,6
york,doncaster,no railcard,advance,1 days,11
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
manchester piccadilly,sheffield,adult,off-peak,0 days,4
london kings cross,york,no railcard,off-peak,0 days,53
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
york,edinburgh,adult,off-peak,0 days,24
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,london euston,no railcard,advance,1 days,76
london euston,manchester piccadilly,disabled,advance,1 days,72
london st pancras,birmingham new street,adult,off-peak,0 days,8
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,leeds,adult,advance,1 days,6
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,disabled,advance,1 days,8
london euston,birmingham new street,disabled,off-peak,0 days,7
london euston,birmingham new street,no railcard,off-peak,0 days,10
london st pancras,birmingham new street,disabled,off-peak,0 days,8
london euston,birmingham new street,adult,advance,1 days,35
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
liverpool lime street,sheffield,no railcard,off-peak,0 days,13
manchester piccadilly,london paddington,no railcard,off-peak,0 days,128
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,york,adult,advance,1 days,10
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10
manchester piccadilly,sheffield,no railcard,advance,1 days,4
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
oxford,bristol temple meads,senior,off-peak,0 days,17
london kings cross,york,no railcard,advance,1 days,57
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
london kings cross,york,senior,advance,1 days,23
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,advance,1 days,8
london euston,birmingham new street,disabled,off-peak,0 days,7
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14
london euston,birmingham new street,disabled,off-peak,0 days,52
london euston,birmingham new street,disabled,off-peak,0 days,7
london euston,manchester piccadilly,no railcard,advance,1 days,72
london kings cross,york,adult,off-peak,0 days,35
york,peterborough,no railcard,off-peak,0 days,70
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,birmingham new street,adult,off-peak,0 days,7
london euston,birmingham new street,disabled,off-peak,0 days,7
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11
london kings cross,liverpool lime street,no railcard,off-peak,0 days,97
manchester piccadilly,liverpool lime street,senior,advance,1 days,6
reading,london paddington,no railcard,advance,1 days,13
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,london kings cross,adult,off-peak,0 days,86
manchester piccadilly,london euston,no railcard,off-peak,0 days,126
birmingham new street,stafford,no railcard,off-peak,0 days,8
manchester piccadilly,london paddington,no railcard,advance,1 days,86
birmingham new street,stafford,no railcard,off-peak,0 days,8
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,london paddington,no railcard,advance,1 days,86
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,off-peak,0 days,53
london euston,birmingham new street,no railcard,off-peak,0 days,10
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
birmingham new street,london st pancras,disabled,off-peak,0 days,22
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london euston,birmingham new street,adult,off-peak,0 days,7
london kings cross,york,adult,advance,1 days,23
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london st pancras,birmingham new street,disabled,off-peak,0 days,8
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
london euston,birmingham new street,no railcard,off-peak,0 days,10
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,senior,advance,1 days,18
london paddington,reading,adult,off-peak,0 days,13
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london st pancras,birmingham new street,no railcard,advance,1 days,8
reading,london paddington,no railcard,advance,1 days,13
birmingham new street,york,adult,off-peak,0 days,20
london euston,birmingham new street,disabled,advance,1 days,4
liverpool lime street,london euston,adult,off-peak,0 days,118
london euston,birmingham new street,disabled,advance,1 days,4
liverpool lime street,london euston,adult,off-peak,0 days,76
birmingham new street,coventry,no railcard,off-peak,0 days,4
birmingham new street,nuneaton,no railcard,off-peak,0 days,21
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
birmingham new street,nuneaton,no railcard,off-peak,0 days,10
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
birmingham new street,tamworth,no railcard,off-peak,0 days,8
birmingham new street,tamworth,no railcard,off-peak,0 days,8
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london euston,birmingham new street,adult,advance,1 days,4
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
london euston,birmingham new street,adult,advance,1 days,4
london paddington,reading,adult,advance,1 days,8
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london paddington,reading,adult,advance,1 days,8
london st pancras,leicester,adult,advance,1 days,16
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london euston,birmingham new street,no railcard,advance,1 days,7
london kings cross,york,no railcard,advance,1 days,35
liverpool lime street,london euston,adult,advance,1 days,50
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
liverpool lime street,sheffield,adult,advance,1 days,6
london kings cross,york,no railcard,off-peak,0 days,53
london st pancras,leicester,senior,off-peak,0 days,23
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
london paddington,reading,no railcard,off-peak,0 days,19
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10
london kings cross,liverpool lime street,adult,off-peak,0 days,65
london kings cross,york,no railcard,advance,1 days,35
london euston,birmingham new street,no railcard,advance,1 days,7
london st pancras,leicester,senior,advance,1 days,20
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,birmingham new street,adult,advance,1 days,35
london euston,birmingham new street,adult,advance,1 days,4
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,14
reading,swindon,no railcard,advance,1 days,9
birmingham new street,tamworth,no railcard,advance,1 days,5
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
birmingham new street,tamworth,no railcard,advance,1 days,5
birmingham new street,coventry,no railcard,advance,1 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
london st pancras,birmingham new street,no railcard,advance,1 days,8
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,manchester piccadilly,adult,off-peak,0 days,72
london euston,manchester piccadilly,adult,off-peak,0 days,72
london euston,birmingham new street,adult,advance,1 days,4
birmingham new street,london euston,senior,advance,1 days,14
london st pancras,birmingham new street,no railcard,advance,1 days,8
london paddington,reading,adult,advance,1 days,8
london euston,birmingham new street,no railcard,advance,1 days,7
reading,oxford,no railcard,advance,1 days,6
birmingham new street,london st pancras,adult,advance,1 days,15
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2
liverpool lime street,manchester piccadilly,adult,advance,1 days,7
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
liverpool lime street,leeds,no railcard,off-peak,0 days,30
london kings cross,edinburgh waverley,disabled,advance,2 days,24
london st pancras,birmingham new street,adult,off-peak,0 days,54
london kings cross,york,disabled,off-peak,0 days,35
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london paddington,reading,adult,advance,1 days,18
york,durham,disabled,off-peak,0 days,10
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london st pancras,birmingham new street,no railcard,advance,1 days,8
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
london st pancras,birmingham new street,no railcard,advance,1 days,8
liverpool lime street,manchester piccadilly,senior,advance,1 days,2
london euston,manchester piccadilly,adult,advance,1 days,72
manchester piccadilly,london euston,no railcard,off-peak,0 days,126
london euston,birmingham new street,no railcard,off-peak,0 days,78
london kings cross,york,adult,off-peak,0 days,35
london euston,birmingham new street,adult,off-peak,0 days,7
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london euston,birmingham new street,adult,off-peak,0 days,7
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london kings cross,york,no railcard,advance,1 days,35
york,durham,no railcard,advance,1 days,8
manchester piccadilly,nottingham,no railcard,advance,1 days,12
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
manchester piccadilly,nottingham,no railcard,advance,1 days,12
london euston,birmingham new street,no railcard,off-peak,0 days,10
london kings cross,york,no railcard,off-peak,0 days,53
london paddington,reading,disabled,off-peak,0 days,13
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
london paddington,reading,senior,off-peak,0 days,13
london kings cross,york,no railcard,off-peak,0 days,53
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
liverpool lime street,crewe,senior,off-peak,0 days,8
birmingham new street,london st pancras,disabled,off-peak,0 days,22
london kings cross,york,no railcard,off-peak,0 days,53
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london euston,manchester piccadilly,no railcard,off-peak,0 days,107
birmingham new street,london st pancras,disabled,off-peak,0 days,22
birmingham new street,london st pancras,disabled,off-peak,0 days,22
london kings cross,york,adult,off-peak,0 days,35
london euston,birmingham new street,senior,off-peak,0 days,7
london euston,birmingham new street,adult,advance,1 days,4
reading,swindon,no railcard,off-peak,0 days,14
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
reading,swindon,no railcard,off-peak,0 days,14
london paddington,reading,no railcard,advance,1 days,13
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london euston,manchester piccadilly,disabled,off-peak,0 days,71
birmingham new street,london euston,no railcard,off-peak,0 days,31
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,london euston,no railcard,off-peak,0 days,176
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
liverpool lime street,london euston,no railcard,off-peak,0 days,113
london euston,birmingham new street,no railcard,off-peak,0 days,10
london euston,birmingham new street,disabled,off-peak,0 days,7
london paddington,oxford,no railcard,off-peak,0 days,26
london paddington,reading,no railcard,off-peak,0 days,19
london paddington,reading,no railcard,off-peak,0 days,19
london euston,birmingham new street,no railcard,advance,1 days,7
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
london kings cross,york,disabled,off-peak,0 days,57
london euston,birmingham new street,no railcard,off-peak,0 days,10
london paddington,oxford,no railcard,off-peak,0 days,26
london paddington,oxford,no railcard,off-peak,0 days,26
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,10
london kings cross,york,no railcard,off-peak,0 days,53
london paddington,reading,no railcard,off-peak,0 days,41
london paddington,reading,no railcard,off-peak,0 days,19
london kings cross,york,no railcard,off-peak,0 days,53
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london st pancras,birmingham new street,disabled,off-peak,0 days,8
london paddington,reading,senior,advance,1 days,18
london kings cross,york,no railcard,advance,1 days,57
london st pancras,birmingham new street,disabled,off-peak,0 days,54
london kings cross,york,no railcard,advance,1 days,35
london kings cross,liverpool lime street,no railcard,off-peak,0 days,97
birmingham new street,london st pancras,disabled,advance,1 days,39
birmingham new street,london kings cross,disabled,advance,1 days,15
london euston,birmingham new street,adult,advance,1 days,4
london st pancras,birmingham new street,no railcard,advance,1 days,8
reading,london paddington,no railcard,advance,1 days,13
london st pancras,birmingham new street,no railcard,advance,1 days,54
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,advance,1 days,35
london kings cross,york,no railcard,advance,1 days,35
london paddington,oxford,no railcard,advance,1 days,18
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london euston,birmingham new street,no railcard,advance,1 days,7
reading,swindon,no railcard,advance,1 days,9
york,peterborough,no railcard,advance,1 days,34
london euston,manchester piccadilly,disabled,advance,1 days,48
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,york,adult,off-peak,0 days,15
london paddington,reading,no railcard,advance,1 days,13
london kings cross,york,no railcard,off-peak,0 days,86
liverpool lime street,london euston,no railcard,advance,1 days,76
york,liverpool lime street,no railcard,advance,1 days,15
london kings cross,liverpool lime street,adult,advance,1 days,43
london euston,birmingham new street,no railcard,advance,1 days,7
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london st pancras,birmingham new street,disabled,advance,1 days,5
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,adult,advance,1 days,8
london euston,birmingham new street,senior,advance,1 days,4
manchester piccadilly,leeds,adult,off-peak,0 days,10
london kings cross,york,no railcard,advance,1 days,57
birmingham new street,london st pancras,no railcard,off-peak,0 days,33
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,adult,advance,1 days,2
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,manchester piccadilly,no railcard,off-peak,0 days,107
london kings cross,york,no railcard,advance,1 days,35
london kings cross,york,adult,advance,1 days,23
london kings cross,york,no railcard,off-peak,0 days,86
london kings cross,york,no railcard,off-peak,0 days,53
london euston,birmingham new street,no railcard,off-peak,0 days,10
liverpool lime street,manchester piccadilly,adult,advance,1 days,2
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
liverpool lime street,sheffield,no railcard,off-peak,0 days,13
manchester piccadilly,london paddington,no railcard,off-peak,0 days,128
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london st pancras,birmingham new street,adult,advance,1 days,5
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,off-peak,0 days,19
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3
liverpool lime street,manchester piccadilly,senior,off-peak,0 days,3
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
london paddington,reading,no railcard,off-peak,0 days,19
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london st pancras,birmingham new street,adult,advance,1 days,5
birmingham new street,liverpool lime street,no railcard,off-peak,0 days,8
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10
london st pancras,birmingham new street,adult,off-peak,0 days,8
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,10
london paddington,reading,disabled,advance,1 days,8
london kings cross,york,adult,off-peak,0 days,35
london euston,birmingham new street,disabled,off-peak,0 days,7
london euston,birmingham new street,adult,off-peak,0 days,52
london euston,birmingham new street,disabled,off-peak,0 days,52
london euston,birmingham new street,disabled,off-peak,0 days,7
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,10
london euston,birmingham new street,disabled,off-peak,0 days,7
london euston,birmingham new street,adult,off-peak,0 days,7
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,10
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2
london kings cross,york,no railcard,off-peak,0 days,53
liverpool lime street,london euston,senior,advance,1 days,50
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,2
manchester piccadilly,sheffield,adult,advance,1 days,2
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,off-peak,0 days,53
london kings cross,york,no railcard,off-peak,0 days,53
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3
london st pancras,birmingham new street,adult,off-peak,0 days,8
reading,london paddington,no railcard,off-peak,0 days,19
liverpool lime street,manchester piccadilly,senior,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
reading,oxford,senior,off-peak,0 days,5
london euston,birmingham new street,no railcard,off-peak,0 days,10
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london euston,birmingham new street,adult,off-peak,0 days,7
liverpool lime street,london euston,adult,off-peak,0 days,76
birmingham new street,tamworth,no railcard,off-peak,0 days,8
london euston,birmingham new street,adult,off-peak,0 days,7
london kings cross,york,no railcard,advance,1 days,35
london st pancras,birmingham new street,adult,advance,1 days,5
manchester piccadilly,liverpool lime street,senior,advance,1 days,2
london st pancras,birmingham new street,no railcard,off-peak,0 days,12
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
london paddington,reading,no railcard,advance,1 days,13
birmingham new street,liverpool lime street,no railcard,advance,1 days,6
liverpool lime street,london euston,adult,off-peak,0 days,76
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london euston,manchester piccadilly,adult,off-peak,0 days,71
reading,didcot,senior,off-peak,0 days,4
london kings cross,york,disabled,advance,1 days,23
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london paddington,reading,senior,off-peak,0 days,13
london st pancras,birmingham new street,adult,off-peak,0 days,8
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
london euston,manchester piccadilly,no railcard,off-peak,0 days,107
birmingham new street,tamworth,no railcard,off-peak,0 days,8
birmingham new street,coventry,no railcard,off-peak,0 days,4
liverpool lime street,crewe,senior,off-peak,0 days,8
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4
birmingham new street,tamworth,no railcard,off-peak,0 days,8
birmingham new street,stafford,no railcard,off-peak,0 days,11
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,disabled,advance,1 days,4
london euston,birmingham new street,no railcard,advance,1 days,7
london euston,birmingham new street,adult,advance,1 days,4
london euston,birmingham new street,disabled,advance,1 days,4
london kings cross,york,no railcard,advance,1 days,35
manchester piccadilly,london kings cross,adult,advance,1 days,90
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,2
london st pancras,birmingham new street,no railcard,off-peak,0 days,80
london euston,birmingham new street,adult,off-peak,0 days,7
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3
london paddington,reading,no railcard,off-peak,0 days,19
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3
