Departure Station,Arrival Destination,Railcard,Ticket Type,Lead Time,Price,Ticket Class
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
london kings cross,liverpool lime street,no railcard,off-peak,0 days,97,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,6 days,7,standard
london paddington,oxford,no railcard,advance,1 days,18,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,adult,off-peak,0 days,35,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,senior,advance,1 days,8,standard
reading,swindon,no railcard,advance,1 days,9,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,senior,off-peak,0 days,7,standard
manchester piccadilly,york,adult,off-peak,0 days,21,first class
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
oxford,bristol temple meads,no railcard,advance,1 days,17,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,sheffield,no railcard,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,80,first class
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,leeds,adult,advance,1 days,6,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,disabled,off-peak,0 days,13,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
manchester piccadilly,london paddington,no railcard,off-peak,0 days,128,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london st pancras,birmingham new street,adult,off-peak,0 days,54,first class
london paddington,reading,disabled,advance,1 days,8,standard
london kings cross,york,senior,advance,1 days,23,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,disabled,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,disabled,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london euston,birmingham new street,disabled,off-peak,0 days,7,standard
london euston,birmingham new street,disabled,anytime,0 days,9,standard
london kings cross,york,adult,anytime,0 days,47,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,disabled,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
birmingham new street,manchester piccadilly,adult,anytime,0 days,15,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
liverpool lime street,leeds,adult,anytime,0 days,13,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
reading,london paddington,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,anytime,0 days,114,first class
liverpool lime street,leeds,adult,anytime,0 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
york,edinburgh,no railcard,advance,1 days,24,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
birmingham new street,london paddington,disabled,anytime,0 days,25,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,114,first class
london kings cross,york,no railcard,anytime,0 days,70,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,no railcard,anytime,0 days,13,standard
london st pancras,birmingham new street,adult,advance,1 days,5,standard
london kings cross,york,no railcard,anytime,0 days,114,first class
london euston,birmingham new street,no railcard,anytime,0 days,104,first class
manchester piccadilly,london euston,senior,advance,1 days,56,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,senior,advance,1 days,2,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
manchester piccadilly,london euston,adult,anytime,0 days,112,standard
birmingham new street,york,adult,anytime,0 days,26,standard
reading,didcot,senior,anytime,0 days,5,standard
liverpool lime street,crewe,senior,anytime,0 days,11,standard
birmingham new street,tamworth,no railcard,anytime,0 days,10,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
birmingham new street,tamworth,no railcard,anytime,0 days,21,first class
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london st pancras,birmingham new street,adult,anytime,0 days,11,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
birmingham new street,nuneaton,no railcard,anytime,0 days,13,standard
birmingham new street,tamworth,no railcard,anytime,0 days,10,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
liverpool lime street,crewe,senior,anytime,0 days,11,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,disabled,advance,1 days,4,standard
london paddington,reading,adult,advance,1 days,8,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,leicester,adult,advance,1 days,16,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,sheffield,adult,advance,1 days,6,standard
liverpool lime street,sheffield,adult,advance,1 days,6,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
london paddington,reading,adult,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,10,first class
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
reading,oxford,no railcard,off-peak,0 days,8,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
birmingham new street,york,adult,advance,1 days,13,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
birmingham new street,coventry,no railcard,advance,1 days,3,standard
birmingham new street,stafford,no railcard,advance,1 days,5,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
birmingham new street,coventry,no railcard,advance,1 days,3,standard
birmingham new street,stafford,no railcard,advance,1 days,7,first class
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
manchester piccadilly,london euston,adult,advance,1 days,56,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,leeds,no railcard,advance,1 days,10,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,oxford,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,off-peak,0 days,41,first class
liverpool lime street,london euston,no railcard,off-peak,0 days,113,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,disabled,off-peak,0 days,35,standard
york,durham,disabled,advance,1 days,5,standard
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
london euston,birmingham new street,senior,off-peak,0 days,7,standard
london euston,birmingham new street,senior,advance,1 days,4,standard
liverpool lime street,manchester piccadilly,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,senior,advance,1 days,2,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
manchester piccadilly,london euston,no railcard,off-peak,0 days,126,standard
manchester piccadilly,sheffield,no railcard,off-peak,0 days,11,first class
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
london euston,birmingham new street,adult,off-peak,0 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,15,first class
london paddington,reading,disabled,off-peak,0 days,13,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
manchester piccadilly,nottingham,no railcard,advance,1 days,12,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
manchester piccadilly,london euston,senior,off-peak,0 days,84,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
birmingham new street,london st pancras,disabled,anytime,0 days,29,standard
york,doncaster,disabled,anytime,0 days,15,first class
london euston,birmingham new street,adult,anytime,0 days,9,standard
manchester piccadilly,london euston,no railcard,advance,1 days,84,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
birmingham new street,london euston,adult,anytime,0 days,27,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,20,first class
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,adult,anytime,0 days,47,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,senior,anytime,0 days,17,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
london euston,birmingham new street,adult,advance,4 days,4,standard
london paddington,reading,no railcard,advance,1 days,27,first class
reading,swindon,no railcard,anytime,0 days,18,standard
birmingham new street,london st pancras,no railcard,advance,1 days,22,standard
london paddington,london waterloo,no railcard,anytime,0 days,11,first class
london paddington,reading,no railcard,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,london euston,adult,advance,1 days,50,standard
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
york,liverpool lime street,no railcard,anytime,0 days,30,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london paddington,reading,no railcard,anytime,0 days,54,first class
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
manchester piccadilly,london euston,no railcard,anytime,0 days,168,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,oxford,no railcard,anytime,0 days,35,standard
london paddington,reading,no railcard,anytime,0 days,25,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,reading,adult,anytime,0 days,17,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
oxford,bristol temple meads,adult,advance,1 days,11,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,adult,off-peak,0 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
london kings cross,edinburgh waverley,disabled,anytime,0 days,48,standard
london paddington,reading,senior,advance,1 days,8,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,crewe,senior,advance,1 days,6,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
york,doncaster,disabled,advance,1 days,4,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
york,doncaster,no railcard,advance,1 days,11,first class
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
birmingham new street,london st pancras,disabled,advance,1 days,15,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,adult,off-peak,0 days,35,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,birmingham new street,no railcard,off-peak,0 days,35,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
york,peterborough,no railcard,advance,1 days,34,standard
london euston,birmingham new street,no railcard,advance,1 days,52,first class
york,doncaster,disabled,advance,1 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
york,edinburgh,adult,off-peak,0 days,24,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,sheffield,no railcard,advance,1 days,4,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
birmingham new street,manchester piccadilly,adult,off-peak,0 days,11,standard
london kings cross,liverpool lime street,no railcard,advance,1 days,65,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
liverpool lime street,manchester piccadilly,adult,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,disabled,advance,1 days,2,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london paddington,liverpool lime street,adult,off-peak,0 days,65,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
london paddington,manchester piccadilly,no railcard,off-peak,0 days,110,standard
birmingham new street,reading,no railcard,off-peak,0 days,50,standard
manchester piccadilly,liverpool lime street,senior,off-peak,0 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london kings cross,york,senior,advance,1 days,23,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,7,first class
manchester piccadilly,leeds,adult,advance,1 days,6,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london st pancras,birmingham new street,adult,off-peak,0 days,8,standard
york,edinburgh,no railcard,off-peak,0 days,35,standard
london st pancras,birmingham new street,disabled,advance,1 days,5,standard
london euston,birmingham new street,adult,anytime,0 days,69,first class
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london paddington,reading,adult,anytime,0 days,17,standard
london euston,birmingham new street,disabled,anytime,0 days,9,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london paddington,reading,adult,anytime,0 days,36,first class
london euston,birmingham new street,adult,anytime,0 days,9,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london paddington,reading,adult,anytime,0 days,17,standard
manchester piccadilly,liverpool lime street,adult,anytime,0 days,3,standard
manchester piccadilly,liverpool lime street,senior,advance,1 days,2,standard
london kings cross,york,no railcard,advance,1 days,35,standard
liverpool lime street,sheffield,adult,anytime,0 days,11,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
birmingham new street,stafford,no railcard,anytime,0 days,14,first class
manchester piccadilly,london paddington,no railcard,advance,1 days,86,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
birmingham new street,london euston,no railcard,anytime,0 days,109,first class
liverpool lime street,london euston,no railcard,anytime,0 days,151,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london euston,birmingham new street,senior,anytime,0 days,9,standard
liverpool lime street,manchester piccadilly,no railcard,anytime,0 days,6,standard
london kings cross,york,no railcard,anytime,0 days,70,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
liverpool lime street,london euston,no railcard,advance,1 days,76,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,adult,anytime,0 days,9,standard
london paddington,reading,disabled,advance,1 days,8,standard
manchester piccadilly,warrington,no railcard,anytime,0 days,4,standard
manchester piccadilly,warrington,no railcard,anytime,0 days,4,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london kings cross,york,disabled,anytime,0 days,47,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
london kings cross,york,adult,anytime,0 days,47,standard
birmingham new street,liverpool lime street,no railcard,advance,1 days,6,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london euston,manchester piccadilly,senior,anytime,0 days,95,standard
manchester piccadilly,london euston,adult,anytime,0 days,112,standard
birmingham new street,nuneaton,no railcard,anytime,0 days,13,standard
london st pancras,birmingham new street,no railcard,anytime,0 days,16,standard
manchester piccadilly,liverpool lime street,no railcard,anytime,0 days,5,standard
london euston,birmingham new street,disabled,advance,1 days,35,first class
london euston,birmingham new street,disabled,advance,1 days,4,standard
london euston,birmingham new street,adult,advance,1 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
london st pancras,leicester,adult,advance,1 days,16,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,6,first class
london euston,birmingham new street,no railcard,advance,1 days,7,standard
birmingham new street,liverpool lime street,adult,advance,1 days,4,standard
liverpool lime street,sheffield,adult,advance,1 days,6,standard
london st pancras,leicester,senior,anytime,0 days,31,standard
manchester piccadilly,liverpool lime street,senior,anytime,0 days,3,standard
birmingham new street,london euston,no railcard,advance,1 days,21,standard
london kings cross,york,adult,advance,1 days,23,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,manchester piccadilly,no railcard,off-peak,0 days,107,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,birmingham new street,no railcard,off-peak,0 days,78,first class
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,54,first class
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london paddington,reading,no railcard,advance,1 days,13,standard
birmingham new street,york,adult,advance,1 days,13,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
birmingham new street,coventry,no railcard,advance,1 days,3,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,manchester piccadilly,adult,off-peak,0 days,72,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,10,first class
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,liverpool lime street,no railcard,advance,1 days,3,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
london euston,manchester piccadilly,no railcard,advance,1 days,72,standard
reading,oxford,no railcard,advance,1 days,6,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
liverpool lime street,manchester piccadilly,adult,advance,1 days,2,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
york,durham,senior,advance,1 days,5,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
manchester piccadilly,london euston,adult,advance,1 days,56,standard
london euston,manchester piccadilly,adult,advance,1 days,48,standard
london st pancras,birmingham new street,no railcard,advance,1 days,8,standard
london euston,birmingham new street,no railcard,advance,1 days,7,standard
london kings cross,york,no railcard,advance,1 days,35,standard
manchester piccadilly,london euston,adult,off-peak,0 days,84,standard
london st pancras,birmingham new street,no railcard,off-peak,0 days,12,standard
london paddington,reading,no railcard,advance,1 days,13,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,off-peak,0 days,19,standard
london paddington,reading,no railcard,advance,1 days,13,standard
manchester piccadilly,liverpool lime street,no railcard,off-peak,0 days,4,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
reading,london paddington,no railcard,off-peak,0 days,19,standard
manchester piccadilly,sheffield,no railcard,off-peak,0 days,5,standard
manchester piccadilly,liverpool lime street,adult,advance,1 days,2,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,advance,1 days,57,first class
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,advance,1 days,3,standard
liverpool lime street,manchester piccadilly,disabled,off-peak,0 days,3,standard
liverpool lime street,manchester piccadilly,no railcard,off-peak,0 days,5,standard
london kings cross,york,no railcard,off-peak,0 days,53,standard
london kings cross,york,no railcard,advance,1 days,57,first class
manchester piccadilly,nottingham,no railcard,advance,1 days,12,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,york,no railcard,advance,1 days,35,standard
london kings cross,liverpool lime street,adult,off-peak,0 days,65,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
london euston,birmingham new street,no railcard,off-peak,0 days,10,standard
