Date of Journey,Route,Demand
2024-03-31,york-edinburgh,1
2024-03-31,york-leeds,1
2024-03-31,york-peterborough,3
2024-04-01,birmingham new street-london euston,1
2024-04-01,birmingham new street-stafford,1
2024-04-01,liverpool lime street-crewe,1
2024-04-01,liverpool lime street-leeds,2
2024-04-01,liverpool lime street-manchester piccadilly,3
2024-04-01,liverpool lime street-sheffield,1
2024-04-01,london euston-birmingham new street,8
2024-04-01,london euston-manchester piccadilly,5
2024-04-01,london kings cross-york,10
2024-04-01,london paddington-oxford,1
2024-04-01,london paddington-reading,10
2024-04-01,london st pancras-birmingham new street,4
2024-04-01,london st pancras-leicester,1
2024-04-01,manchester piccadilly-liverpool lime street,6
2024-04-01,oxford-bristol temple meads,1
2024-04-01,reading-london paddington,2
2024-04-01,reading-swindon,1
2024-04-01,york-doncaster,2
2024-04-01,york-durham,3
2024-04-02,birmingham new street-london euston,1
2024-04-02,birmingham new street-london st pancras,2
2024-04-02,birmingham new street-manchester piccadilly,4
2024-04-02,birmingham new street-nuneaton,1
2024-04-02,birmingham new street-stafford,1
2024-04-02,birmingham new street-tamworth,1
2024-04-02,birmingham new street-york,2
2024-04-02,edinburgh waverley-london kings cross,1
2024-04-02,liverpool lime street-crewe,1
2024-04-02,liverpool lime street-leeds,1
2024-04-02,liverpool lime street-london euston,6
2024-04-02,liverpool lime street-manchester piccadilly,13
2024-04-02,london euston-birmingham new street,21
2024-04-02,london kings cross-edinburgh waverley,1
2024-04-02,london kings cross-york,27
2024-04-02,london paddington-liverpool lime street,1
2024-04-02,london paddington-oxford,2
2024-04-02,london paddington-reading,22
2024-04-02,london st pancras-birmingham new street,15
2024-04-02,london st pancras-leicester,2
2024-04-02,manchester piccadilly-leeds,1
2024-04-02,manchester piccadilly-liverpool lime street,20
2024-04-02,manchester piccadilly-warrington,1
2024-04-02,oxford-bristol temple meads,1
2024-04-02,reading-london paddington,2
2024-04-02,reading-oxford,1
2024-04-02,reading-swindon,1
2024-04-02,york-doncaster,1
2024-04-03,birmingham new street-coventry,3
2024-04-03,birmingham new street-liverpool lime street,1
2024-04-03,birmingham new street-london euston,1
2024-04-03,birmingham new street-london st pancras,4
2024-04-03,birmingham new street-nuneaton,2
2024-04-03,birmingham new street-stafford,1
2024-04-03,birmingham new street-tamworth,1
2024-04-03,birmingham new street-wolverhampton,1
2024-04-03,birmingham new street-york,1
2024-04-03,liverpool lime street-leeds,1
2024-04-03,liverpool lime street-london euston,11
2024-04-03,liverpool lime street-manchester piccadilly,29
2024-04-03,liverpool lime street-sheffield,1
2024-04-03,london euston-birmingham new street,29
2024-04-03,london euston-manchester piccadilly,10
2024-04-03,london kings cross-edinburgh waverley,1
2024-04-03,london kings cross-york,41
2024-04-03,london paddington-oxford,6
2024-04-03,london paddington-reading,28
2024-04-03,london st pancras-birmingham new street,33
2024-04-03,london st pancras-leicester,3
2024-04-03,manchester piccadilly-leeds,1
2024-04-03,manchester piccadilly-liverpool lime street,38
2024-04-03,manchester piccadilly-london euston,2
2024-04-03,manchester piccadilly-london paddington,3
2024-04-03,manchester piccadilly-nottingham,2
2024-04-03,manchester piccadilly-sheffield,3
2024-04-03,oxford-bristol temple meads,1
2024-04-03,reading-oxford,2
2024-04-03,reading-swindon,2
2024-04-03,york-doncaster,1
2024-04-03,york-durham,2
2024-04-03,york-edinburgh waverley,1
2024-04-03,york-wakefield,1
2024-04-04,birmingham new street-coventry,1
2024-04-04,birmingham new street-london st pancras,8
2024-04-04,birmingham new street-manchester piccadilly,1
2024-04-04,birmingham new street-nuneaton,4
2024-04-04,birmingham new street-reading,2
2024-04-04,birmingham new street-stafford,1
2024-04-04,birmingham new street-tamworth,1
2024-04-04,birmingham new street-wolverhampton,1
2024-04-04,edinburgh waverley-london kings cross,1
2024-04-04,liverpool lime street-crewe,1
2024-04-04,liverpool lime street-leeds,2
2024-04-04,liverpool lime street-london euston,9
2024-04-04,liverpool lime street-london st pancras,1
2024-04-04,liverpool lime street-manchester piccadilly,24
2024-04-04,liverpool lime street-sheffield,1
2024-04-04,london euston-birmingham new street,34
2024-04-04,london euston-manchester piccadilly,9
2024-04-04,london kings cross-edinburgh waverley,3
2024-04-04,london kings cross-york,23
2024-04-04,london paddington-liverpool lime street,1
2024-04-04,london paddington-manchester piccadilly,1
2024-04-04,london paddington-oxford,8
2024-04-04,london paddington-reading,27
2024-04-04,london st pancras-birmingham new street,28
2024-04-04,london st pancras-leicester,3
2024-04-04,london st pancras-wolverhampton,2
2024-04-04,manchester piccadilly-liverpool lime street,41
2024-04-04,manchester piccadilly-london euston,1
2024-04-04,manchester piccadilly-nottingham,1
2024-04-04,oxford-bristol temple meads,1
2024-04-04,reading-didcot,1
2024-04-04,reading-london paddington,1
2024-04-04,reading-oxford,2
2024-04-04,reading-swindon,1
2024-04-04,york-doncaster,2
2024-04-04,york-durham,2
2024-04-04,york-edinburgh,2
2024-04-05,birmingham new street-coventry,2
2024-04-05,birmingham new street-liverpool lime street,1
2024-04-05,birmingham new street-london st pancras,6
2024-04-05,birmingham new street-manchester piccadilly,1
2024-04-05,birmingham new street-nuneaton,3
2024-04-05,birmingham new street-tamworth,1
2024-04-05,birmingham new street-york,1
2024-04-05,liverpool lime street-crewe,3
2024-04-05,liverpool lime street-london euston,14
2024-04-05,liverpool lime street-manchester piccadilly,23
2024-04-05,liverpool lime street-sheffield,1
2024-04-05,london euston-birmingham new street,31
2024-04-05,london euston-manchester piccadilly,6
2024-04-05,london kings cross-york,27
2024-04-05,london paddington-oxford,6
2024-04-05,london paddington-reading,35
2024-04-05,london st pancras-birmingham new street,20
2024-04-05,london st pancras-leicester,2
2024-04-05,manchester piccadilly-leeds,1
2024-04-05,manchester piccadilly-liverpool lime street,33
2024-04-05,manchester piccadilly-london euston,2
2024-04-05,manchester piccadilly-london paddington,1
2024-04-05,manchester piccadilly-nottingham,2
2024-04-05,manchester piccadilly-sheffield,3
2024-04-05,oxford-bristol temple meads,2
2024-04-05,reading-didcot,1
2024-04-05,reading-london paddington,1
2024-04-05,york-doncaster,2
2024-04-05,york-durham,4
2024-04-05,york-edinburgh waverley,1
2024-04-05,york-liverpool lime street,2
2024-04-05,york-peterborough,2
2024-04-06,birmingham new street-liverpool lime street,3
2024-04-06,birmingham new street-london euston,1
2024-04-06,birmingham new street-london paddington,1
2024-04-06,birmingham new street-london st pancras,4
2024-04-06,birmingham new street-manchester piccadilly,1
2024-04-06,birmingham new street-nuneaton,6
2024-04-06,birmingham new street-reading,1
2024-04-06,birmingham new street-stafford,4
2024-04-06,birmingham new street-tamworth,2
2024-04-06,bristol temple meads-cardiff central,1
2024-04-06,edinburgh waverley-london kings cross,1
2024-04-06,liverpool lime street-crewe,1
2024-04-06,liverpool lime street-london euston,6
2024-04-06,liverpool lime street-manchester piccadilly,27
2024-04-06,liverpool lime street-sheffield,1
2024-04-06,london euston-birmingham new street,42
2024-04-06,london euston-manchester piccadilly,5
2024-04-06,london kings cross-liverpool lime street,2
2024-04-06,london kings cross-york,33
2024-04-06,london paddington-oxford,5
2024-04-06,london paddington-reading,39
2024-04-06,london st pancras-birmingham new street,36
2024-04-06,london st pancras-leicester,2
2024-04-06,london st pancras-wolverhampton,1
2024-04-06,manchester piccadilly-leeds,1
2024-04-06,manchester piccadilly-liverpool lime street,37
2024-04-06,manchester piccadilly-london euston,3
2024-04-06,manchester piccadilly-london paddington,2
2024-04-06,reading-didcot,1
2024-04-06,reading-oxford,1
2024-04-06,reading-swindon,2
2024-04-06,york-doncaster,1
2024-04-06,york-durham,4
2024-04-06,york-edinburgh,3
2024-04-06,york-peterborough,2
2024-04-07,birmingham new street-liverpool lime street,2
2024-04-07,birmingham new street-london st pancras,7
2024-04-07,birmingham new street-manchester piccadilly,1
2024-04-07,birmingham new street-nuneaton,2
2024-04-07,birmingham new street-stafford,2
2024-04-07,birmingham new street-tamworth,2
2024-04-07,birmingham new street-york,1
2024-04-07,bristol temple meads-cardiff central,1
2024-04-07,liverpool lime street-crewe,3
2024-04-07,liverpool lime street-leeds,1
2024-04-07,liverpool lime street-london euston,11
2024-04-07,liverpool lime street-london paddington,1
2024-04-07,liverpool lime street-manchester piccadilly,16
2024-04-07,london euston-birmingham new street,33
2024-04-07,london euston-manchester piccadilly,9
2024-04-07,london euston-york,1
2024-04-07,london kings cross-edinburgh waverley,1
2024-04-07,london kings cross-liverpool lime street,1
2024-04-07,london kings cross-york,36
2024-04-07,london paddington-oxford,6
2024-04-07,london paddington-reading,28
2024-04-07,london st pancras-birmingham new street,34
2024-04-07,london st pancras-leicester,2
2024-04-07,manchester piccadilly-liverpool lime street,30
2024-04-07,manchester piccadilly-london euston,3
2024-04-07,manchester piccadilly-london paddington,1
2024-04-07,manchester piccadilly-nottingham,2
2024-04-07,manchester piccadilly-sheffield,1
2024-04-07,reading-didcot,1
2024-04-07,reading-oxford,1
2024-04-07,reading-swindon,5
2024-04-08,birmingham new street-coventry,1
2024-04-08,birmingham new street-liverpool lime street,2
2024-04-08,birmingham new street-london paddington,2
2024-04-08,birmingham new street-london st pancras,4
2024-04-08,birmingham new street-manchester piccadilly,1
2024-04-08,birmingham new street-tamworth,1
2024-04-08,birmingham new street-york,2
2024-04-08,edinburgh waverley-london kings cross,2
2024-04-08,liverpool lime street-birmingham new street,1
2024-04-08,liverpool lime street-crewe,1
2024-04-08,liverpool lime street-london euston,12
2024-04-08,liverpool lime street-manchester piccadilly,31
2024-04-08,london euston-birmingham new street,34
2024-04-08,london euston-manchester piccadilly,6
2024-04-08,london euston-york,1
2024-04-08,london kings cross-edinburgh waverley,2
2024-04-08,london kings cross-liverpool lime street,1
2024-04-08,london kings cross-york,41
2024-04-08,london paddington-liverpool lime street,1
2024-04-08,london paddington-london waterloo,1
2024-04-08,london paddington-oxford,3
2024-04-08,london paddington-reading,34
2024-04-08,london st pancras-birmingham new street,34
2024-04-08,london st pancras-leicester,1
2024-04-08,london st pancras-wolverhampton,1
2024-04-08,manchester piccadilly-leeds,2
2024-04-08,manchester piccadilly-liverpool lime street,38
2024-04-08,manchester piccadilly-london euston,1
2024-04-08,manchester piccadilly-london paddington,2
2024-04-08,manchester piccadilly-sheffield,1
2024-04-08,oxford-bristol temple meads,3
2024-04-08,reading-didcot,1
2024-04-08,reading-london paddington,1
2024-04-08,reading-swindon,4
2024-04-08,york-durham,3
2024-04-08,york-edinburgh,1
2024-04-08,york-peterborough,2
2024-04-08,york-wakefield,1
2024-04-09,birmingham new street-liverpool lime street,3
2024-04-09,birmingham new street-london euston,1
2024-04-09,birmingham new street-london st pancras,9
2024-04-09,birmingham new street-manchester piccadilly,2
2024-04-09,birmingham new street-nuneaton,2
2024-04-09,birmingham new street-tamworth,1
2024-04-09,birmingham new street-wolverhampton,1
2024-04-09,birmingham new street-york,1
2024-04-09,edinburgh waverley-london kings cross,2
2024-04-09,liverpool lime street-crewe,2
2024-04-09,liverpool lime street-london euston,13
2024-04-09,liverpool lime street-manchester piccadilly,27
2024-04-09,london euston-birmingham new street,43
2024-04-09,london euston-manchester piccadilly,6
2024-04-09,london kings cross-edinburgh waverley,3
2024-04-09,london kings cross-liverpool lime street,2
2024-04-09,london kings cross-york,32
2024-04-09,london paddington-london waterloo,1
2024-04-09,london paddington-oxford,8
2024-04-09,london paddington-reading,41
2024-04-09,london st pancras-birmingham new street,42
2024-04-09,london st pancras-leicester,3
2024-04-09,manchester piccadilly-leeds,2
2024-04-09,manchester piccadilly-liverpool lime street,29
2024-04-09,manchester piccadilly-london euston,1
2024-04-09,manchester piccadilly-london kings cross,1
2024-04-09,manchester piccadilly-london paddington,5
2024-04-09,manchester piccadilly-london st pancras,1
2024-04-09,manchester piccadilly-nottingham,3
2024-04-09,manchester piccadilly-sheffield,1
2024-04-09,oxford-bristol temple meads,1
2024-04-09,reading-didcot,1
2024-04-09,reading-oxford,3
2024-04-09,reading-swindon,1
2024-04-09,york-doncaster,2
2024-04-09,york-durham,4
2024-04-09,york-edinburgh,2
2024-04-10,birmingham new street-london euston,2
2024-04-10,birmingham new street-london st pancras,10
2024-04-10,birmingham new street-manchester piccadilly,1
2024-04-10,birmingham new street-nuneaton,2
2024-04-10,birmingham new street-stafford,2
2024-04-10,birmingham new street-tamworth,4
2024-04-10,birmingham new street-york,1
2024-04-10,liverpool lime street-crewe,1
2024-04-10,liverpool lime street-london euston,5
2024-04-10,liverpool lime street-london st pancras,1
2024-04-10,liverpool lime street-manchester piccadilly,19
2024-04-10,liverpool lime street-sheffield,1
2024-04-10,london euston-birmingham new street,32
2024-04-10,london euston-manchester piccadilly,5
2024-04-10,london kings cross-liverpool lime street,1
2024-04-10,london kings cross-york,23
2024-04-10,london paddington-london waterloo,1
2024-04-10,london paddington-oxford,4
2024-04-10,london paddington-reading,24
2024-04-10,london st pancras-birmingham new street,31
2024-04-10,london st pancras-leicester,5
2024-04-10,london st pancras-wolverhampton,2
2024-04-10,manchester piccadilly-leeds,1
2024-04-10,manchester piccadilly-liverpool lime street,44
2024-04-10,manchester piccadilly-london euston,2
2024-04-10,manchester piccadilly-london paddington,1
2024-04-10,manchester piccadilly-london st pancras,1
2024-04-10,manchester piccadilly-nottingham,3
2024-04-10,manchester piccadilly-sheffield,2
2024-04-10,oxford-bristol temple meads,3
2024-04-10,reading-london paddington,3
2024-04-10,reading-oxford,1
2024-04-10,reading-swindon,3
2024-04-10,york-doncaster,2
2024-04-10,york-durham,2
2024-04-10,york-edinburgh,1
2024-04-10,york-peterborough,4
2024-04-11,birmingham new street-liverpool lime street,1
2024-04-11,birmingham new street-london euston,1
2024-04-11,birmingham new street-london paddington,1
2024-04-11,birmingham new street-london st pancras,4
2024-04-11,birmingham new street-manchester piccadilly,4
2024-04-11,birmingham new street-nuneaton,1
2024-04-11,birmingham new street-stafford,5
2024-04-11,birmingham new street-york,1
2024-04-11,liverpool lime street-crewe,1
2024-04-11,liverpool lime street-leeds,2
2024-04-11,liverpool lime street-london euston,12
2024-04-11,liverpool lime street-manchester piccadilly,27
2024-04-11,london euston-birmingham new street,29
2024-04-11,london euston-manchester piccadilly,2
2024-04-11,london kings cross-edinburgh waverley,2
2024-04-11,london kings cross-liverpool lime street,3
2024-04-11,london kings cross-york,26
2024-04-11,london paddington-london waterloo,2
2024-04-11,london paddington-manchester piccadilly,1
2024-04-11,london paddington-oxford,4
2024-04-11,london paddington-reading,36
2024-04-11,london st pancras-birmingham new street,31
2024-04-11,london st pancras-leicester,5
2024-04-11,manchester piccadilly-leeds,1
2024-04-11,manchester piccadilly-liverpool lime street,31
2024-04-11,manchester piccadilly-london euston,1
2024-04-11,manchester piccadilly-london paddington,1
2024-04-11,manchester piccadilly-london st pancras,2
2024-04-11,manchester piccadilly-nottingham,2
2024-04-11,manchester piccadilly-sheffield,3
2024-04-11,oxford-bristol temple meads,1
2024-04-11,reading-swindon,2
2024-04-11,york-durham,2
2024-04-11,york-edinburgh,2
2024-04-11,york-peterborough,4
2024-04-12,birmingham new street-coventry,1
2024-04-12,birmingham new street-liverpool lime street,2
2024-04-12,birmingham new street-london euston,1
2024-04-12,birmingham new street-london st pancras,4
2024-04-12,birmingham new street-nuneaton,1
2024-04-12,birmingham new street-reading,1
2024-04-12,liverpool lime street-crewe,3
2024-04-12,liverpool lime street-leeds,3
2024-04-12,liverpool lime street-london euston,11
2024-04-12,liverpool lime street-manchester piccadilly,32
2024-04-12,london euston-birmingham new street,41
2024-04-12,london euston-manchester piccadilly,7
2024-04-12,london kings cross-edinburgh waverley,2
2024-04-12,london kings cross-liverpool lime street,2
2024-04-12,london kings cross-york,38
2024-04-12,london paddington-liverpool lime street,1
2024-04-12,london paddington-oxford,8
2024-04-12,london paddington-reading,40
2024-04-12,london st pancras-birmingham new street,22
2024-04-12,london st pancras-leicester,1
2024-04-12,manchester piccadilly-leeds,1
2024-04-12,manchester piccadilly-liverpool lime street,43
2024-04-12,manchester piccadilly-london euston,5
2024-04-12,manchester piccadilly-london kings cross,1
2024-04-12,manchester piccadilly-london paddington,3
2024-04-12,manchester piccadilly-nottingham,2
2024-04-12,manchester piccadilly-sheffield,1
2024-04-12,oxford-bristol temple meads,2
2024-04-12,reading-didcot,1
2024-04-12,reading-swindon,2
2024-04-12,york-birmingham new street,1
2024-04-12,york-doncaster,5
2024-04-12,york-durham,2
2024-04-12,york-edinburgh,1
2024-04-13,birmingham new street-liverpool lime street,1
2024-04-13,birmingham new street-london euston,2
2024-04-13,birmingham new street-london st pancras,5
2024-04-13,birmingham new street-manchester piccadilly,3
2024-04-13,birmingham new street-stafford,2
2024-04-13,birmingham new street-tamworth,2
2024-04-13,birmingham new street-wolverhampton,2
2024-04-13,liverpool lime street-crewe,1
2024-04-13,liverpool lime street-london euston,8
2024-04-13,liverpool lime street-london paddington,1
2024-04-13,liverpool lime street-manchester piccadilly,32
2024-04-13,liverpool lime street-sheffield,1
2024-04-13,london euston-birmingham new street,35
2024-04-13,london euston-manchester piccadilly,6
2024-04-13,london kings cross-edinburgh waverley,4
2024-04-13,london kings cross-liverpool lime street,2
2024-04-13,london kings cross-york,35
2024-04-13,london paddington-oxford,3
2024-04-13,london paddington-reading,39
2024-04-13,london st pancras-birmingham new street,20
2024-04-13,london st pancras-leicester,3
2024-04-13,london st pancras-wolverhampton,1
2024-04-13,manchester piccadilly-leeds,1
2024-04-13,manchester piccadilly-liverpool lime street,32
2024-04-13,manchester piccadilly-london euston,5
2024-04-13,manchester piccadilly-london paddington,1
2024-04-13,manchester piccadilly-sheffield,5
2024-04-13,reading-london paddington,3
2024-04-13,reading-oxford,1
2024-04-13,reading-swindon,1
2024-04-13,york-doncaster,3
2024-04-13,york-durham,2
2024-04-13,york-edinburgh,2
2024-04-13,york-peterborough,1
2024-04-14,birmingham new street-liverpool lime street,1
2024-04-14,birmingham new street-london st pancras,10
2024-04-14,birmingham new street-manchester piccadilly,1
2024-04-14,birmingham new street-nuneaton,1
2024-04-14,birmingham new street-stafford,2
2024-04-14,birmingham new street-tamworth,4
2024-04-14,birmingham new street-wolverhampton,1
2024-04-14,liverpool lime street-crewe,3
2024-04-14,liverpool lime street-leeds,1
2024-04-14,liverpool lime street-london euston,8
2024-04-14,liverpool lime street-london paddington,1
2024-04-14,liverpool lime street-manchester piccadilly,24
2024-04-14,london euston-birmingham new street,48
2024-04-14,london euston-manchester piccadilly,7
2024-04-14,london kings cross-liverpool lime street,1
2024-04-14,london kings cross-york,42
2024-04-14,london paddington-oxford,1
2024-04-14,london paddington-reading,36
2024-04-14,london st pancras-birmingham new street,35
2024-04-14,london st pancras-leicester,4
2024-04-14,london st pancras-wolverhampton,1
2024-04-14,manchester piccadilly-leeds,3
2024-04-14,manchester piccadilly-liverpool lime street,34
2024-04-14,manchester piccadilly-london euston,1
2024-04-14,manchester piccadilly-london paddington,1
2024-04-14,manchester piccadilly-nottingham,1
2024-04-14,manchester piccadilly-sheffield,1
2024-04-14,reading-birmingham new street,1
2024-04-14,reading-london paddington,2
2024-04-14,reading-swindon,1
2024-04-14,york-doncaster,2
2024-04-14,york-durham,2
2024-04-14,york-edinburgh waverley,1
2024-04-14,york-peterborough,2
2024-04-15,birmingham new street-liverpool lime street,1
2024-04-15,birmingham new street-london euston,3
2024-04-15,birmingham new street-london kings cross,1
2024-04-15,birmingham new street-london st pancras,8
2024-04-15,birmingham new street-manchester piccadilly,2
2024-04-15,birmingham new street-nuneaton,2
2024-04-15,birmingham new street-stafford,2
2024-04-15,birmingham new street-tamworth,1
2024-04-15,birmingham new street-york,1
2024-04-15,liverpool lime street-birmingham new street,1
2024-04-15,liverpool lime street-crewe,1
2024-04-15,liverpool lime street-london euston,8
2024-04-15,liverpool lime street-manchester piccadilly,26
2024-04-15,london euston-birmingham new street,45
2024-04-15,london euston-manchester piccadilly,8
2024-04-15,london kings cross-edinburgh waverley,4
2024-04-15,london kings cross-liverpool lime street,2
2024-04-15,london kings cross-york,27
2024-04-15,london paddington-oxford,1
2024-04-15,london paddington-reading,43
2024-04-15,london st pancras-birmingham new street,34
2024-04-15,london st pancras-leicester,1
2024-04-15,manchester piccadilly-leeds,4
2024-04-15,manchester piccadilly-liverpool lime street,43
2024-04-15,manchester piccadilly-london euston,6
2024-04-15,manchester piccadilly-london paddington,4
2024-04-15,manchester piccadilly-nottingham,2
2024-04-15,manchester piccadilly-sheffield,1
2024-04-15,oxford-bristol temple meads,3
2024-04-15,reading-liverpool lime street,1
2024-04-15,reading-london paddington,2
2024-04-15,reading-oxford,2
2024-04-15,reading-swindon,6
2024-04-15,york-durham,1
2024-04-15,york-leeds,1
2024-04-16,birmingham new street-liverpool lime street,1
2024-04-16,birmingham new street-london euston,2
2024-04-16,birmingham new street-london st pancras,7
2024-04-16,birmingham new street-manchester piccadilly,1
2024-04-16,birmingham new street-nuneaton,1
2024-04-16,birmingham new street-reading,1
2024-04-16,birmingham new street-tamworth,1
2024-04-16,bristol temple meads-cardiff central,2
2024-04-16,edinburgh waverley-london kings cross,1
2024-04-16,liverpool lime street-leeds,1
2024-04-16,liverpool lime street-london euston,11
2024-04-16,liverpool lime street-london st pancras,1
2024-04-16,liverpool lime street-manchester piccadilly,23
2024-04-16,london euston-birmingham new street,29
2024-04-16,london euston-manchester piccadilly,2
2024-04-16,london kings cross-edinburgh waverley,2
2024-04-16,london kings cross-liverpool lime street,1
2024-04-16,london kings cross-york,35
2024-04-16,london paddington-london waterloo,1
2024-04-16,london paddington-oxford,5
2024-04-16,london paddington-reading,29
2024-04-16,london st pancras-birmingham new street,33
2024-04-16,london st pancras-leicester,5
2024-04-16,london st pancras-wolverhampton,2
2024-04-16,manchester piccadilly-liverpool lime street,32
2024-04-16,manchester piccadilly-london euston,5
2024-04-16,manchester piccadilly-london paddington,3
2024-04-16,manchester piccadilly-nottingham,2
2024-04-16,manchester piccadilly-sheffield,1
2024-04-16,reading-london paddington,2
2024-04-16,reading-oxford,2
2024-04-16,york-durham,6
2024-04-16,york-peterborough,1
2024-04-17,birmingham new street-london euston,1
2024-04-17,birmingham new street-london st pancras,7
2024-04-17,birmingham new street-nuneaton,1
2024-04-17,birmingham new street-stafford,1
2024-04-17,birmingham new street-tamworth,3
2024-04-17,birmingham new street-york,1
2024-04-17,liverpool lime street-london euston,15
2024-04-17,liverpool lime street-manchester piccadilly,23
2024-04-17,liverpool lime street-sheffield,1
2024-04-17,london euston-birmingham new street,38
2024-04-17,london euston-manchester piccadilly,1
2024-04-17,london kings cross-edinburgh waverley,1
2024-04-17,london kings cross-liverpool lime street,1
2024-04-17,london kings cross-york,40
2024-04-17,london paddington-oxford,5
2024-04-17,london paddington-reading,46
2024-04-17,london st pancras-birmingham new street,29
2024-04-17,london st pancras-leicester,3
2024-04-17,manchester piccadilly-leeds,1
2024-04-17,manchester piccadilly-liverpool lime street,47
2024-04-17,manchester piccadilly-london euston,2
2024-04-17,manchester piccadilly-london paddington,1
2024-04-17,manchester piccadilly-nottingham,4
2024-04-17,oxford-bristol temple meads,2
2024-04-17,reading-didcot,1
2024-04-17,reading-swindon,3
2024-04-17,york-doncaster,1
2024-04-17,york-edinburgh,2
2024-04-17,york-leeds,2
2024-04-17,york-peterborough,5
2024-04-18,birmingham new street-liverpool lime street,3
2024-04-18,birmingham new street-london paddington,1
2024-04-18,birmingham new street-london st pancras,9
2024-04-18,birmingham new street-manchester piccadilly,2
2024-04-18,birmingham new street-nuneaton,1
2024-04-18,birmingham new street-reading,2
2024-04-18,birmingham new street-stafford,5
2024-04-18,birmingham new street-tamworth,3
2024-04-18,birmingham new street-wolverhampton,1
2024-04-18,bristol temple meads-cardiff central,1
2024-04-18,edinburgh waverley-london kings cross,1
2024-04-18,liverpool lime street-crewe,3
2024-04-18,liverpool lime street-leeds,1
2024-04-18,liverpool lime street-london euston,9
2024-04-18,liverpool lime street-london paddington,1
2024-04-18,liverpool lime street-london st pancras,1
2024-04-18,liverpool lime street-manchester piccadilly,25
2024-04-18,liverpool lime street-sheffield,1
2024-04-18,london euston-birmingham new street,28
2024-04-18,london euston-manchester piccadilly,6
2024-04-18,london kings cross-edinburgh waverley,2
2024-04-18,london kings cross-york,30
2024-04-18,london paddington-oxford,2
2024-04-18,london paddington-reading,22
2024-04-18,london st pancras-birmingham new street,29
2024-04-18,london st pancras-leicester,4
2024-04-18,manchester piccadilly-leeds,1
2024-04-18,manchester piccadilly-liverpool lime street,43
2024-04-18,manchester piccadilly-london euston,2
2024-04-18,manchester piccadilly-london paddington,1
2024-04-18,manchester piccadilly-nottingham,1
2024-04-18,manchester piccadilly-sheffield,2
2024-04-18,reading-london paddington,1
2024-04-18,reading-oxford,1
2024-04-18,reading-swindon,1
2024-04-18,york-doncaster,1
2024-04-18,york-durham,4
2024-04-18,york-edinburgh,1
2024-04-18,york-edinburgh waverley,1
2024-04-18,york-liverpool lime street,1
2024-04-18,york-peterborough,2
2024-04-19,birmingham new street-edinburgh,1
2024-04-19,birmingham new street-liverpool lime street,1
2024-04-19,birmingham new street-london kings cross,1
2024-04-19,birmingham new street-london st pancras,8
2024-04-19,birmingham new street-manchester piccadilly,2
2024-04-19,birmingham new street-nuneaton,2
2024-04-19,birmingham new street-reading,1
2024-04-19,birmingham new street-stafford,2
2024-04-19,birmingham new street-tamworth,1
2024-04-19,birmingham new street-york,1
2024-04-19,bristol temple meads-cardiff central,1
2024-04-19,edinburgh waverley-london kings cross,1
2024-04-19,liverpool lime street-birmingham new street,1
2024-04-19,liverpool lime street-crewe,2
2024-04-19,liverpool lime street-leeds,3
2024-04-19,liverpool lime street-london euston,11
2024-04-19,liverpool lime street-manchester piccadilly,25
2024-04-19,liverpool lime street-sheffield,1
2024-04-19,london euston-birmingham new street,38
2024-04-19,london euston-manchester piccadilly,4
2024-04-19,london kings cross-edinburgh waverley,1
2024-04-19,london kings cross-liverpool lime street,1
2024-04-19,london kings cross-york,38
2024-04-19,london paddington-liverpool lime street,1
2024-04-19,london paddington-oxford,5
2024-04-19,london paddington-reading,36
2024-04-19,london st pancras-birmingham new street,31
2024-04-19,london st pancras-leicester,5
2024-04-19,london st pancras-wolverhampton,2
2024-04-19,manchester piccadilly-leeds,1
2024-04-19,manchester piccadilly-liverpool lime street,53
2024-04-19,manchester piccadilly-london euston,4
2024-04-19,manchester piccadilly-nottingham,1
2024-04-19,oxford-bristol temple meads,2
2024-04-19,reading-london paddington,1
2024-04-19,reading-oxford,2
2024-04-19,reading-swindon,1
2024-04-19,york-doncaster,1
2024-04-19,york-durham,2
2024-04-19,york-edinburgh,6
2024-04-19,york-peterborough,3
2024-04-20,birmingham new street-coventry,1
2024-04-20,birmingham new street-liverpool lime street,1
2024-04-20,birmingham new street-london euston,3
2024-04-20,birmingham new street-london paddington,1
2024-04-20,birmingham new street-london st pancras,10
2024-04-20,birmingham new street-manchester piccadilly,4
2024-04-20,birmingham new street-nuneaton,1
2024-04-20,birmingham new street-stafford,4
2024-04-20,birmingham new street-tamworth,1
2024-04-20,liverpool lime street-crewe,3
2024-04-20,liverpool lime street-london euston,6
2024-04-20,liverpool lime street-london paddington,1
2024-04-20,liverpool lime street-manchester piccadilly,23
2024-04-20,liverpool lime street-sheffield,1
2024-04-20,london euston-birmingham new street,26
2024-04-20,london euston-manchester piccadilly,10
2024-04-20,london kings cross-edinburgh waverley,2
2024-04-20,london kings cross-york,41
2024-04-20,london paddington-london waterloo,1
2024-04-20,london paddington-oxford,1
2024-04-20,london paddington-reading,28
2024-04-20,london st pancras-birmingham new street,26
2024-04-20,london st pancras-leicester,4
2024-04-20,manchester piccadilly-leeds,1
2024-04-20,manchester piccadilly-liverpool lime street,35
2024-04-20,manchester piccadilly-london euston,3
2024-04-20,manchester piccadilly-london paddington,3
2024-04-20,manchester piccadilly-nottingham,2
2024-04-20,manchester piccadilly-sheffield,3
2024-04-20,reading-didcot,1
